medie_elev,pozitie_elev,sector,profil,specializare,limba,bilingv,medie_liceu,ultima_pozitie_2025,ultima_pozitie_2024,ultima_pozitie_2023,pozitie_medie_intrare,diferenta_pozitie,admis
9.05,1735,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-835,0
9.7,651,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,249,1
9.0,1804,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-904,0
9.92,310,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,590,1
8.77,2046,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-1146,0
10.0,1,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,899,1
9.75,450,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,450,1
9.58,994,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-94,0
9.98,201,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,699,1
9.78,480,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,420,1
8.99,1902,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-1002,0
9.02,1745,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-845,0
9.45,951,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-51,0
8.74,2087,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-1187,0
9.35,1066,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-166,0
9.16,1459,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-559,0
9.2,1248,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-348,0
9.12,1446,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-546,0
10.0,111,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,789,1
8.85,1925,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-1025,0
9.45,903,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-3,0
9.25,1378,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-478,0
9.47,900,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,0,1
9.86,338,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,562,1
9.22,1519,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-619,0
9.76,608,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,292,1
10.0,1,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,899,1
10.0,30,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,870,1
9.65,855,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,45,1
10.0,17,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,883,1
9.27,1323,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-423,0
9.27,1425,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-525,0
8.92,1730,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-830,0
10.0,91,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,809,1
9.99,362,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,538,1
9.34,1214,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-314,0
9.52,774,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,126,1
9.9,272,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,628,1
10.0,146,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,754,1
9.63,867,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,33,1
9.31,1133,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-233,0
8.97,1680,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-780,0
9.42,1047,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-147,0
9.18,1418,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-518,0
8.77,1975,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-1075,0
9.83,458,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,442,1
9.35,1333,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-433,0
10.0,1,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,899,1
9.04,1838,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-938,0
9.26,1426,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-526,0
9.68,643,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,257,1
9.59,875,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,25,1
9.69,761,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,139,1
10.0,1,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,899,1
9.66,847,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,53,1
10.0,86,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,814,1
9.28,1169,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-269,0
9.75,468,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,432,1
9.69,547,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,353,1
9.78,715,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,185,1
8.95,1860,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-960,0
9.57,916,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-16,0
9.7,524,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,376,1
9.09,1416,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-516,0
9.18,1519,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-619,0
9.16,1394,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-494,0
9.55,1019,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-119,0
10.0,1,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,899,1
